Date,Timestamp,Temperature,Humidity,Comfort Level
3/14/19,23:53:41,9.226015094,11.83617286,Low
3/15/19,10:56:33,27.23417538,11.84003666,Low
3/15/19,17:07:54,25.99111744,11.84317434,Low
3/15/19,07:45:50,15.01778521,11.85921643,Low
3/15/19,15:37:35,32.84689998,11.85974866,Low
3/15/19,13:48:31,16.05306798,11.90974908,Low
3/15/19,13:33:29,14.92322153,11.96304819,Low
3/14/19,06:25:28,30.91894117,11.96909372,Low
3/15/19,03:14:42,15.48199344,11.98008233,Low
3/14/19,14:33:35,31.55321566,11.9935414,Low
3/15/19,21:08:23,28.25984837,12.00974197,Low
3/15/19,01:34:13,32.578928,12.01493425,Low
3/15/19,12:01:55,28.05245269,12.0226515,Low
3/15/19,23:28:48,29.29031935,12.02318347,Low
3/15/19,19:58:15,28.33352099,12.03549117,Low
3/15/19,03:19:43,20.13979658,12.03639955,Low
3/14/19,22:23:41,29.14063643,12.07627786,Low
3/15/19,12:52:07,15.55195597,12.08051645,Low
3/15/19,03:34:47,33.20011047,12.0818784,Low
3/15/19,01:59:23,17.40332376,12.09834801,Low
3/15/19,23:43:29,23.8616943,12.10942304,Low
3/15/19,14:16:41,15.94169272,12.11607169,Low
3/15/19,07:00:37,10.65621413,12.12091613,Low
3/15/19,23:33:49,31.60584725,12.13884711,Low
3/15/19,15:52:37,20.67734709,12.1403321,Low
3/14/19,05:30:11,25.74413232,12.14603347,Low
3/15/19,09:46:09,33.94337703,12.15456019,Low
3/15/19,22:43:43,10.89754812,12.1742921,Low
3/15/19,22:38:43,35.30795568,12.19275879,Low
3/15/19,10:41:31,31.00894562,12.19315533,Low
3/15/19,02:54:40,35.78053727,12.21770837,Low
3/15/19,09:21:03,12.35969677,12.25467983,Low
3/15/19,21:53:36,15.74026867,12.27532874,Low
3/15/19,21:28:31,24.89276319,12.27602386,Low
3/15/19,12:01:55,10.96042542,12.27657025,Low
3/15/19,05:05:08,33.86606499,12.29238262,Low
3/15/19,12:47:06,16.27119363,12.30059154,Low
3/14/19,01:34:13,13.94710862,12.3006905,Low
3/15/19,23:18:47,18.96533774,12.31615518,Low
3/15/19,02:09:25,18.01359214,12.31747053,Low
3/15/19,09:46:09,27.79993136,12.33158692,Low
3/15/19,02:24:34,35.85162264,12.3353753,Low
3/15/19,05:40:12,17.59901773,12.35146048,Low
3/15/19,16:42:48,36.18399394,12.35397946,Low
3/15/19,22:48:44,33.94489155,12.37938287,Low
3/15/19,13:38:30,13.68865767,12.39069306,Low
3/14/19,18:18:02,24.30112342,12.40362895,Low
3/15/19,20:13:16,32.37366298,12.42718506,Low
3/15/19,22:18:40,24.44873083,12.42917616,Low
3/14/19,07:35:49,27.98514259,12.43162672,Low
3/15/19,09:46:09,18.74259653,12.44782142,Low
3/15/19,13:48:31,21.49995477,12.47068415,Low
3/15/19,04:09:54,18.45524985,12.47344508,Low
3/15/19,12:42:05,28.24190669,12.49058285,Low
3/15/19,23:03:45,24.81122788,12.51199984,Low
3/15/19,06:30:29,27.04253124,12.52875852,Low
3/15/19,20:08:17,13.4706778,12.54659903,Low
3/15/19,17:32:57,33.19584307,12.55159664,Low
3/15/19,09:11:02,17.33605715,12.55296054,Low
3/15/19,22:23:41,13.25819254,12.58118092,Low
3/14/19,09:31:05,26.14738898,12.59514222,Low
3/15/19,18:23:03,25.86616591,12.61739433,Low
3/14/19,02:44:36,35.76896126,12.62067688,Low
3/14/19,21:58:37,11.11985503,12.62440583,Low
3/14/19,12:32:02,19.2132891,12.62614059,Low
3/15/19,11:11:37,11.3923352,12.62671777,Low
3/15/19,15:17:32,33.46669839,12.64081616,Low
3/15/19,23:08:46,15.01954491,12.65313882,Low
3/15/19,19:23:10,22.47227209,12.65582291,Low
3/15/19,19:38:10,13.77815267,12.65813423,Low
3/15/19,01:49:17,20.37684183,12.65850644,Low
3/15/19,14:05:25,17.72404423,12.66028806,Low
3/14/19,11:11:37,14.52506708,12.69430115,Low
3/15/19,22:33:42,34.17603168,12.69874528,Low
3/15/19,01:04:04,35.5615441,12.71316183,Low
3/15/19,08:45:57,13.46041997,12.71568171,Low
3/15/19,08:10:53,20.52503001,12.7277682,Low
3/15/19,00:08:50,26.64266893,12.73958361,Low
3/15/19,16:12:42,23.08230254,12.74633401,Low
3/15/19,23:28:48,17.59553944,12.77865545,Low
3/14/19,07:20:47,18.61255276,12.78500293,Low
3/15/19,00:03:47,14.06267758,12.80159516,Low
3/15/19,19:13:09,29.85735204,12.80675232,Low
3/15/19,11:46:51,30.15734991,12.81935824,Low
3/15/19,08:15:53,31.63358504,12.82364982,Low
3/15/19,20:08:16,28.04366595,12.82392372,Low
3/15/19,15:17:32,30.37319665,12.83033771,Low
3/14/19,13:28:28,17.70803395,12.86347163,Low
3/15/19,17:02:53,17.76227781,12.88867273,Low
3/15/19,21:33:32,35.92015071,12.90093914,Low
3/15/19,21:43:33,33.75392683,12.91791937,Low
3/15/19,06:30:29,19.25248373,12.92453718,Low
3/15/19,23:43:29,16.23197857,12.93392306,Low
3/15/19,22:18:39,16.97205358,12.9345701,Low
3/15/19,09:11:02,21.5615714,12.9413826,Low
3/15/19,06:10:24,22.27705049,12.95213456,Low
3/15/19,13:59:47,31.49403709,12.95838528,Low
3/15/19,05:10:09,20.94815847,12.96553433,Low
3/15/19,11:36:47,12.32708639,12.97844812,Low
3/15/19,22:58:45,9.454194011,12.99294004,Low
3/15/19,17:58:00,19.95453215,12.99542667,Low
3/15/19,22:18:40,33.28995373,13.00515848,Low
3/15/19,11:21:43,19.35992474,13.02557995,Low
3/15/19,22:43:43,24.98168128,13.02604997,Low
3/15/19,11:36:47,32.78068193,13.05896261,Low
3/15/19,02:34:35,10.30447453,13.0704691,Low
3/15/19,07:00:37,19.59878191,13.07602435,Low
3/15/19,12:42:05,9.64893143,13.11708927,Low
3/15/19,15:32:34,10.24117244,13.12121708,Low
3/15/19,00:28:58,26.147977,13.15092609,Low
3/14/19,14:39:13,36.42880371,13.15136091,Low
3/15/19,16:12:42,11.17604176,13.1545924,Low
3/15/19,05:25:11,14.54723905,13.18810044,Low
3/14/19,17:32:57,27.9456638,13.19045651,Low
3/15/19,20:23:18,13.74126586,13.20503775,Low
3/15/19,05:30:11,27.49378758,13.22571808,Low
3/15/19,20:33:20,10.55800016,13.234547,Low
3/15/19,02:34:35,18.39822509,13.25479395,Low
